id,name,lat,lon,country,line,tiv_usd,bi_tiv_usd,hub
LOC00000,Maui Commercial #0000,20.9624,-156.3908,United States,Commercial Property,23677000,12280000,Maui
LOC00001,Shanghai High-Net-Worth #0001,31.2011,121.84,China,High-Net-Worth Homeowners,14013000,0,Shanghai
LOC00002,Houston Energy #0002,29.7048,-95.4974,United States,Energy,375789000,0,Houston
LOC00003,Los Angeles Commercial #0003,33.7208,-118.246,United States,Commercial Property,26196000,13171000,Los Angeles
LOC00004,Mexico City Commercial #0004,19.4122,-99.1792,Mexico,Commercial Property,204627000,75807000,Mexico City
LOC00005,Tokyo Energy #0005,35.7561,139.2671,Japan,Energy,208275000,0,Tokyo
LOC00006,San Juan Commercial #0006,18.4115,-66.037,Puerto Rico,Commercial Property,11603000,6325000,San Juan
LOC00007,Mexico City High-Net-Worth #0007,19.3053,-99.1204,Mexico,High-Net-Worth Homeowners,6237000,0,Mexico City
LOC00008,Osaka Commercial #0008,34.4779,135.4734,Japan,Commercial Property,32334000,17625000,Osaka
LOC00009,Manila Commercial #0009,14.5587,121.0867,Philippines,Commercial Property,41512000,20063000,Manila
LOC00010,Mumbai Commercial #0010,19.1216,72.864,India,Commercial Property,57508000,32616000,Mumbai
LOC00011,Los Angeles Commercial #0011,33.9914,-118.0786,United States,Commercial Property,18560000,7869000,Los Angeles
LOC00012,Hong Kong Commercial #0012,22.5236,114.0539,China,Commercial Property,12759000,2806000,Hong Kong
LOC00013,Cabo San Lucas High-Net-Worth #0013,22.9179,-109.6493,Mexico,High-Net-Worth Homeowners,6773000,0,Cabo San Lucas
LOC00014,Kolkata Marine #0014,22.6118,88.3311,India,Marine Cargo,30724000,0,Kolkata
LOC00015,Shanghai High-Net-Worth #0015,31.3733,121.6323,China,High-Net-Worth Homeowners,1910000,0,Shanghai
LOC00016,Istanbul Commercial #0016,40.9072,29.2277,Türkiye,Commercial Property,41239000,18946000,Istanbul
LOC00017,Boston Commercial #0017,42.414,-71.1438,United States,Commercial Property,12103000,3501000,Boston
LOC00018,Lagos Commercial #0018,6.58,3.3466,Nigeria,Commercial Property,25257000,5369000,Lagos
LOC00019,Kaohsiung Commercial #0019,22.6381,120.2357,Taiwan,Commercial Property,34880000,9469000,Kaohsiung
LOC00020,Miami High-Net-Worth #0020,25.8842,-80.1112,United States,High-Net-Worth Homeowners,2676000,0,Miami
LOC00021,Jakarta Commercial #0021,-6.1278,106.902,Indonesia,Commercial Property,10367000,4492000,Jakarta
LOC00022,Nassau Commercial #0022,25.0489,-77.3388,Bahamas,Commercial Property,29993000,13254000,Nassau
LOC00023,Rotterdam Marine #0023,52.0195,4.3649,Netherlands,Marine Cargo,20854000,0,Rotterdam
LOC00024,San Juan High-Net-Worth #0024,18.5279,-66.1377,Puerto Rico,High-Net-Worth Homeowners,13361000,0,San Juan
LOC00025,Concepcion Marine #0025,-36.8712,-73.0169,Chile,Marine Cargo,14485000,0,Concepcion
LOC00026,London Commercial #0026,51.5029,-0.1581,United Kingdom,Commercial Property,18396000,8939000,London
LOC00027,Naples FL High-Net-Worth #0027,26.1296,-81.7621,United States,High-Net-Worth Homeowners,2849000,0,Naples FL
LOC00028,Tokyo Commercial #0028,35.6689,139.8394,Japan,Commercial Property,25589000,13577000,Tokyo
LOC00029,Kinshasa Commercial #0029,-4.49,15.3594,Democratic Republic of the Congo,Commercial Property,54668000,22960000,Kinshasa
LOC00030,Tampa High-Net-Worth #0030,27.9896,-82.6232,United States,High-Net-Worth Homeowners,5817000,0,Tampa
LOC00031,Shanghai Marine #0031,31.2248,121.5029,China,Marine Cargo,18467000,0,Shanghai
LOC00032,Manila Commercial #0032,14.8934,121.2269,Philippines,Commercial Property,45155000,14660000,Manila
LOC00033,Kona / Hilo Commercial #0033,19.6206,-155.8978,United States,Commercial Property,51206000,26082000,Kona / Hilo
LOC00034,Kaohsiung Commercial #0034,22.6312,120.2949,Taiwan,Commercial Property,25720000,9051000,Kaohsiung
LOC00035,Mumbai High-Net-Worth #0035,19.1065,72.898,India,High-Net-Worth Homeowners,5204000,0,Mumbai
LOC00036,San Juan Commercial #0036,18.7017,-65.9544,Puerto Rico,Commercial Property,12087000,5236000,San Juan
LOC00037,Honolulu High-Net-Worth #0037,21.2297,-157.6531,United States,High-Net-Worth Homeowners,1681000,0,Honolulu
LOC00038,Taipei High-Net-Worth #0038,25.2726,121.3001,Taiwan,High-Net-Worth Homeowners,6473000,0,Taipei
LOC00039,London Commercial #0039,51.696,0.1146,United Kingdom,Commercial Property,47814000,27559000,London
LOC00040,New York High-Net-Worth #0040,40.3942,-73.9205,United States,High-Net-Worth Homeowners,6244000,0,New York
LOC00041,Cancun Commercial #0041,21.2768,-87.2189,Mexico,Commercial Property,41189000,24004000,Cancun
LOC00042,Shenzhen Commercial #0042,22.4871,114.0367,China,Commercial Property,27774000,10279000,Shenzhen
LOC00043,Kaohsiung High-Net-Worth #0043,22.6614,120.234,Taiwan,High-Net-Worth Homeowners,6358000,0,Kaohsiung
LOC00044,Tampa Commercial #0044,27.8382,-82.432,United States,Commercial Property,89229000,42504000,Tampa
LOC00045,Taipei Commercial #0045,24.7347,121.566,Taiwan,Commercial Property,56364000,29638000,Taipei
LOC00046,Kaohsiung Commercial #0046,22.7498,120.5197,Taiwan,Commercial Property,36021000,17665000,Kaohsiung
LOC00047,Lagos Marine #0047,6.4841,3.6191,Nigeria,Marine Cargo,1876000,0,Lagos
LOC00048,Houston Energy #0048,29.9718,-95.1098,United States,Energy,223173000,0,Houston
LOC00049,Cabo San Lucas Commercial #0049,22.7716,-109.6237,Mexico,Commercial Property,13509000,5446000,Cabo San Lucas
LOC00050,Manila Commercial #0050,14.6596,120.902,Philippines,Commercial Property,25065000,10474000,Manila
LOC00051,Los Angeles Commercial #0051,34.3388,-118.1784,United States,Commercial Property,12913000,6017000,Los Angeles
LOC00052,Santiago Commercial #0052,-33.5875,-70.6516,Chile,Commercial Property,27737000,7194000,Santiago
LOC00053,Boston Commercial #0053,42.3595,-71.1463,United States,Commercial Property,91724000,48049000,Boston
LOC00054,Tokyo Commercial #0054,35.6763,139.7128,Japan,Commercial Property,41159000,22088000,Tokyo
LOC00055,Osaka Commercial #0055,34.794,136.1751,Japan,Commercial Property,68532000,38462000,Osaka
LOC00056,Concepcion Commercial #0056,-36.6625,-72.8049,Chile,Commercial Property,63389000,23546000,Concepcion
LOC00057,Mazatlan Commercial #0057,23.3275,-106.4294,Mexico,Commercial Property,30816000,17904000,Mazatlan
LOC00058,Johannesburg Commercial #0058,-26.1053,27.8936,South Africa,Commercial Property,6100000,1242000,Johannesburg
LOC00059,Los Angeles Marine #0059,34.0541,-118.2446,United States,Marine Cargo,25701000,0,Los Angeles
LOC00060,Acapulco High-Net-Worth #0060,16.8248,-99.8827,Mexico,High-Net-Worth Homeowners,538000,0,Acapulco
LOC00061,Honolulu High-Net-Worth #0061,21.317,-157.7952,United States,High-Net-Worth Homeowners,9468000,0,Honolulu
LOC00062,New York High-Net-Worth #0062,40.7272,-74.0075,United States,High-Net-Worth Homeowners,12702000,0,New York
LOC00063,Manila Commercial #0063,14.7255,120.9353,Philippines,Commercial Property,28686000,8433000,Manila
LOC00064,Hamburg Commercial #0064,53.4675,10.0611,Germany,Commercial Property,41617000,16116000,Hamburg
LOC00065,Houston Energy #0065,29.8241,-95.5125,United States,Energy,56920000,0,Houston
LOC00066,Chennai Commercial #0066,13.1103,80.3804,India,Commercial Property,3376000,1054000,Chennai
LOC00067,Houston Commercial #0067,29.8169,-95.1431,United States,Commercial Property,75711000,21532000,Houston
LOC00068,London Commercial #0068,51.5173,-0.1192,United Kingdom,Commercial Property,16273000,5745000,London
LOC00069,La Paz BCS Commercial #0069,23.9385,-110.2121,Mexico,Commercial Property,72980000,27148000,La Paz BCS
LOC00070,Kona / Hilo High-Net-Worth #0070,19.6309,-155.9932,United States,High-Net-Worth Homeowners,4340000,0,Kona / Hilo
LOC00071,Chennai Commercial #0071,13.102,80.1166,India,Commercial Property,22977000,7581000,Chennai
LOC00072,Mexico City High-Net-Worth #0072,19.7415,-99.2771,Mexico,High-Net-Worth Homeowners,7643000,0,Mexico City
LOC00073,Athens Energy #0073,37.8444,23.5675,Greece,Energy,235030000,0,Athens
LOC00074,Honolulu High-Net-Worth #0074,21.1127,-157.7667,United States,High-Net-Worth Homeowners,940000,0,Honolulu
LOC00075,Los Angeles Commercial #0075,34.0813,-118.2689,United States,Commercial Property,30884000,14334000,Los Angeles
LOC00076,New Orleans High-Net-Worth #0076,29.5689,-90.103,United States,High-Net-Worth Homeowners,3453000,0,New Orleans
LOC00077,Cancun High-Net-Worth #0077,21.1488,-86.8468,Mexico,High-Net-Worth Homeowners,775000,0,Cancun
LOC00078,Manzanillo Marine #0078,19.0762,-104.4395,Mexico,Marine Cargo,12501000,0,Manzanillo
LOC00079,Kolkata Marine #0079,22.7591,88.1705,India,Marine Cargo,4458000,0,Kolkata
LOC00080,New York Commercial #0080,40.7344,-74.0765,United States,Commercial Property,20108000,11583000,New York
LOC00081,Miami Commercial #0081,25.7269,-80.2495,United States,Commercial Property,48747000,25715000,Miami
LOC00082,Tokyo Commercial #0082,35.7885,139.6154,Japan,Commercial Property,29711000,15893000,Tokyo
LOC00083,San Juan Marine #0083,18.4412,-66.1558,Puerto Rico,Marine Cargo,20477000,0,San Juan
LOC00084,Shenzhen High-Net-Worth #0084,22.3574,113.6736,China,High-Net-Worth Homeowners,7870000,0,Shenzhen
LOC00085,Tokyo Commercial #0085,35.7896,139.6825,Japan,Commercial Property,11934000,3173000,Tokyo
LOC00086,Kampala Commercial #0086,0.4508,32.6256,Uganda,Commercial Property,133170000,51328000,Kampala
LOC00087,Cabo San Lucas High-Net-Worth #0087,22.7272,-109.9751,Mexico,High-Net-Worth Homeowners,2473000,0,Cabo San Lucas
LOC00088,Jakarta High-Net-Worth #0088,-6.1496,106.8792,Indonesia,High-Net-Worth Homeowners,1644000,0,Jakarta
LOC00089,Sydney High-Net-Worth #0089,-33.9157,151.0211,Australia,High-Net-Worth Homeowners,6156000,0,Sydney
LOC00090,Milan Commercial #0090,45.5171,9.6502,Italy,Commercial Property,30461000,7251000,Milan
LOC00091,Acapulco High-Net-Worth #0091,16.723,-99.8445,Mexico,High-Net-Worth Homeowners,9062000,0,Acapulco
LOC00092,Istanbul Commercial #0092,40.964,29.026,Türkiye,Commercial Property,69159000,36273000,Istanbul
LOC00093,Manila High-Net-Worth #0093,14.5259,120.9736,Philippines,High-Net-Worth Homeowners,6068000,0,Manila
LOC00094,London Marine #0094,51.8259,-0.2139,United Kingdom,Marine Cargo,4335000,0,London
LOC00095,Los Angeles Commercial #0095,34.0539,-118.2325,United States,Commercial Property,11058000,3073000,Los Angeles
LOC00096,Miami High-Net-Worth #0096,25.7007,-80.073,United States,High-Net-Worth Homeowners,25781000,0,Miami
LOC00097,Manila Commercial #0097,14.5816,120.8416,Philippines,Commercial Property,10992000,4120000,Manila
LOC00098,San Juan Commercial #0098,18.4015,-66.042,Puerto Rico,Commercial Property,42390000,12867000,San Juan
LOC00099,Praia High-Net-Worth #0099,15.1966,-23.539,Cape Verde,High-Net-Worth Homeowners,4970000,0,Praia
LOC00100,Santo Domingo Commercial #0100,18.675,-69.783,Dominican Republic,Commercial Property,12036000,5737000,Santo Domingo
LOC00101,Tampa High-Net-Worth #0101,27.9502,-82.4595,United States,High-Net-Worth Homeowners,6085000,0,Tampa
LOC00102,Tokyo High-Net-Worth #0102,35.8901,139.7637,Japan,High-Net-Worth Homeowners,6866000,0,Tokyo
LOC00103,London Commercial #0103,51.612,-0.0061,United Kingdom,Commercial Property,10707000,3704000,London
LOC00104,Maui Commercial #0104,20.6564,-156.4867,United States,Commercial Property,4478000,1460000,Maui
LOC00105,Cabo San Lucas Commercial #0105,22.9246,-110.0352,Mexico,Commercial Property,7794000,3107000,Cabo San Lucas
LOC00106,Shanghai Commercial #0106,31.1442,121.437,China,Commercial Property,12967000,3908000,Shanghai
LOC00107,Lagos Commercial #0107,6.4458,3.3446,Nigeria,Commercial Property,21269000,10998000,Lagos
LOC00108,Hamburg Commercial #0108,53.5838,10.1709,Germany,Commercial Property,87610000,23913000,Hamburg
LOC00109,Shanghai Marine #0109,31.4843,121.5265,China,Marine Cargo,10421000,0,Shanghai
LOC00110,Goma Commercial #0110,-1.6162,29.3468,Democratic Republic of the Congo,Commercial Property,32204000,16569000,Goma
LOC00111,Osaka Commercial #0111,34.8288,135.4,Japan,Commercial Property,34438000,16646000,Osaka
LOC00112,Lagos Marine #0112,6.544,3.3647,Nigeria,Marine Cargo,3998000,0,Lagos
LOC00113,Shanghai Commercial #0113,31.0515,121.6306,China,Commercial Property,10101000,5322000,Shanghai
LOC00114,Taipei Commercial #0114,25.0005,121.6215,Taiwan,Commercial Property,50090000,24195000,Taipei
LOC00115,Rotterdam Commercial #0115,51.9168,4.4892,Netherlands,Commercial Property,55540000,23976000,Rotterdam
LOC00116,Cancun High-Net-Worth #0116,21.2546,-86.8419,Mexico,High-Net-Worth Homeowners,3258000,0,Cancun
LOC00117,Taipei Commercial #0117,25.0232,121.5668,Taiwan,Commercial Property,81814000,20905000,Taipei
