country,insured_travelers,ah_members
Angola,420,885
Australia,1232,4514
Bahamas,707,1127
Burundi,181,1150
Cape Verde,507,2086
Chile,3536,3868
China,6290,11930
Colombia,406,2094
Democratic Republic of the Congo,1154,2574
Dominican Republic,399,1340
Germany,1086,2640
Greece,875,1931
India,5537,7203
Indonesia,1492,6644
Italy,952,2262
Jamaica,497,1306
Japan,4806,15912
Kenya,528,1837
Mexico,14208,26976
Netherlands,1624,1838
Nigeria,618,2400
Peru,878,1426
Philippines,1500,3204
Puerto Rico,1800,4202
Rwanda,442,474
South Africa,676,4096
South Sudan,277,1124
Spain,401,2196
Taiwan,3600,7225
Tanzania,169,819
Türkiye,1628,6724
Uganda,583,1106
United Arab Emirates,1020,4396
United Kingdom,2000,4515
United States,37681,105595
